pt, Njetdis
0.150000, 1.671213
0.160000, 1.649331
0.170000, 1.627164
0.180000, 1.604788
0.190000, 1.582273
0.200000, 1.559679
0.210000, 1.537056
0.220000, 1.514451
0.230000, 1.491903
0.240000, 1.469444
0.250000, 1.447104
0.260000, 1.424908
0.270000, 1.402878
0.280000, 1.381030
0.290000, 1.359382
0.300000, 1.337945
0.310000, 1.316732
0.320000, 1.295750
0.330000, 1.275009
0.340000, 1.254513
0.350000, 1.234269
0.360000, 1.214280
0.370000, 1.194549
0.380000, 1.175078
0.390000, 1.155870
0.400000, 1.136923
0.410000, 1.118240
0.420000, 1.099820
0.430000, 1.081662
0.440000, 1.063766
0.450000, 1.046130
0.460000, 1.028752
0.470000, 1.011632
0.480000, 0.994767
0.490000, 0.978155
0.500000, 0.961793
0.510000, 0.945680
0.520000, 0.929813
0.530000, 0.914189
0.540000, 0.898805
0.550000, 0.883660
0.560000, 0.868749
0.570000, 0.854071
0.580000, 0.839623
0.590000, 0.825401
0.600000, 0.811402
0.610000, 0.797625
0.620000, 0.784066
0.630000, 0.770721
0.640000, 0.757589
0.650000, 0.744667
0.660000, 0.731950
0.670000, 0.719438
0.680000, 0.707126
0.690000, 0.695012
0.700000, 0.683094
0.710000, 0.671368
0.720000, 0.659832
0.730000, 0.648482
0.740000, 0.637317
0.750000, 0.626334
0.760000, 0.615530
0.770000, 0.604902
0.780000, 0.594448
0.790000, 0.584166
0.800000, 0.574052
0.810000, 0.564105
0.820000, 0.554321
0.830000, 0.544699
0.840000, 0.535236
0.850000, 0.525930
0.860000, 0.516778
0.870000, 0.507778
0.880000, 0.498928
0.890000, 0.490225
0.900000, 0.481667
0.910000, 0.473253
0.920000, 0.464979
0.930000, 0.456844
0.940000, 0.448846
0.950000, 0.440982
0.960000, 0.433251
0.970000, 0.425650
0.980000, 0.418178
0.990000, 0.410831
1.000000, 0.403610
1.010000, 0.396511
1.020000, 0.389532
1.030000, 0.382672
1.040000, 0.375929
1.050000, 0.369301
1.060000, 0.362786
1.070000, 0.356383
1.080000, 0.350089
1.090000, 0.343903
1.100000, 0.337823
1.110000, 0.331848
1.120000, 0.325976
1.130000, 0.320204
1.140000, 0.314533
1.150000, 0.308959
1.160000, 0.303481
1.170000, 0.298099
1.180000, 0.292809
1.190000, 0.287611
1.200000, 0.282504
1.210000, 0.277485
1.220000, 0.272553
1.230000, 0.267708
1.240000, 0.262946
1.250000, 0.258268
1.260000, 0.253671
1.270000, 0.249155
1.280000, 0.244718
1.290000, 0.240358
1.300000, 0.236075
1.310000, 0.231867
1.320000, 0.227732
1.330000, 0.223671
1.340000, 0.219680
1.350000, 0.215760
1.360000, 0.211909
1.370000, 0.208125
1.380000, 0.204408
1.390000, 0.200757
1.400000, 0.197170
1.410000, 0.193646
1.420000, 0.190185
1.430000, 0.186785
1.440000, 0.183445
1.450000, 0.180164
1.460000, 0.176941
1.470000, 0.173775
1.480000, 0.170666
1.490000, 0.167611
1.500000, 0.164611
1.510000, 0.161663
1.520000, 0.158769
1.530000, 0.155925
1.540000, 0.153132
1.550000, 0.150389
1.560000, 0.147695
1.570000, 0.145048
1.580000, 0.142449
1.590000, 0.139895
1.600000, 0.137388
1.610000, 0.134925
1.620000, 0.132506
1.630000, 0.130130
1.640000, 0.127796
1.650000, 0.125504
1.660000, 0.123253
1.670000, 0.121042
1.680000, 0.118870
1.690000, 0.116738
1.700000, 0.114643
1.710000, 0.112586
1.720000, 0.110565
1.730000, 0.108581
1.740000, 0.106632
1.750000, 0.104718
1.760000, 0.102838
1.770000, 0.100992
1.780000, 0.099179
1.790000, 0.097398
1.800000, 0.095649
1.810000, 0.093932
1.820000, 0.092245
1.830000, 0.090588
1.840000, 0.088962
1.850000, 0.087364
1.860000, 0.085795
1.870000, 0.084253
1.880000, 0.082740
1.890000, 0.081254
1.900000, 0.079794
1.910000, 0.078360
1.920000, 0.076953
1.930000, 0.075570
1.940000, 0.074212
1.950000, 0.072879
1.960000, 0.071569
1.970000, 0.070283
1.980000, 0.069020
1.990000, 0.067780
2.000000, 0.066562
2.010000, 0.065365
2.020000, 0.064190
2.030000, 0.063037
2.040000, 0.061904
2.050000, 0.060791
2.060000, 0.059698
2.070000, 0.058625
2.080000, 0.057571
2.090000, 0.056537
2.100000, 0.055520
2.110000, 0.054522
2.120000, 0.053542
2.130000, 0.052579
2.140000, 0.051634
2.150000, 0.050706
